SURVEYR,descrip_E,QUESTION,TITLE_E,ANSWER1,Strongly Agree,ANSWER2,Somewhat Agree,ANSWER3,Neither Agree Nor Disagree,ANSWER4,Somewhat Disagree,ANSWER5,Strongly Disagree,ANSWER6,Don't Know,ANSWER7,Not Applicable
2020,Public Service,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty five percent voted for ,I have everything I need to ensure my health and safety.,thirty six percent voted for ,I have most things I need to ensure my health and safety.,nine percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,three percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty six percent voted for ,I have everything I need to ensure my health and safety.,thirty five percent voted for ,I have most things I need to ensure my health and safety.,nine percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,two percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty five percent voted for ,I have everything I need to ensure my health and safety.,thirty five percent voted for ,I have most things I need to ensure my health and safety.,nine percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,three percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty nine percent voted for ,I have everything I need to ensure my health and safety.,thirty four percent voted for ,I have most things I need to ensure my health and safety.,eight percent voted for ,I am unsure if I have what I need for health and safety.,six percent voted for ,I lack some things needed for health and safety.,two percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q06,Question 6. I have support at work to balance my work and personal life.,forty seven percent voted for ,I feel well supported in balancing work and personal life.,thirty percent voted for ,I feel somewhat supported in balancing work and personal life.,nine percent voted for ,I am neutral about the support for work-life balance.,seven percent voted for ,I feel poorly supported in balancing work and personal life.,six percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q06,Question 6. I have support at work to balance my work and personal life.,forty five percent voted for ,I feel well supported in balancing work and personal life.,thirty two percent voted for ,I feel somewhat supported in balancing work and personal life.,eight percent voted for ,I am neutral about the support for work-life balance.,eight percent voted for ,I feel poorly supported in balancing work and personal life.,six percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q06,Question 6. I have support at work to balance my work and personal life.,forty five percent voted for ,I feel well supported in balancing work and personal life.,thirty one percent voted for ,I feel somewhat supported in balancing work and personal life.,ten percent voted for ,I am neutral about the support for work-life balance.,eight percent voted for ,I feel poorly supported in balancing work and personal life.,five percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q06,Question 6. I have support at work to balance my work and personal life.,forty six percent voted for ,I feel well supported in balancing work and personal life.,thirty two percent voted for ,I feel somewhat supported in balancing work and personal life.,ten percent voted for ,I am neutral about the support for work-life balance.,eight percent voted for ,I feel poorly supported in balancing work and personal life.,four percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q06,Question 6. I have support at work to balance my work and personal life.,forty five percent voted for ,I feel well supported in balancing work and personal life.,thirty one percent voted for ,I feel somewhat supported in balancing work and personal life.,ten percent voted for ,I am neutral about the support for work-life balance.,eight percent voted for ,I feel poorly supported in balancing work and personal life.,five percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q06,Question 6. I have support at work to balance my work and personal life.,fifty percent voted for ,I feel well supported in balancing work and personal life.,thirty percent voted for ,I feel somewhat supported in balancing work and personal life.,nine percent voted for ,I am neutral about the support for work-life balance.,six percent voted for ,I feel poorly supported in balancing work and personal life.,four percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q06,Question 6. I have support at work to balance my work and personal life.,forty two percent voted for ,I feel well supported in balancing work and personal life.,thirty three percent voted for ,I feel somewhat supported in balancing work and personal life.,eleven percent voted for ,I am neutral about the support for work-life balance.,eight percent voted for ,I feel poorly supported in balancing work and personal life.,five percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q06,Question 6. I have support at work to balance my work and personal life.,forty seven percent voted for ,I feel well supported in balancing work and personal life.,thirty two percent voted for ,I feel somewhat supported in balancing work and personal life.,nine percent voted for ,I am neutral about the support for work-life balance.,seven percent voted for ,I feel poorly supported in balancing work and personal life.,four percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q07,Question 7. I get a sense of satisfaction from my work.,forty percent voted for ,I am fully satisfied with my work.,thirty eight percent voted for ,I am mostly satisfied with my work.,eleven percent voted for ,I neither feel satisfied nor dissatisfied with my work.,six percent voted for ,I feel little satisfaction from my work.,five percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q07,Question 7. I get a sense of satisfaction from my work.,thirty eight percent voted for ,I am fully satisfied with my work.,thirty eight percent voted for ,I am mostly satisfied with my work.,twelve percent voted for ,I neither feel satisfied nor dissatisfied with my work.,eight percent voted for ,I feel little satisfaction from my work.,five percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q07,Question 7. I get a sense of satisfaction from my work.,forty percent voted for ,I am fully satisfied with my work.,thirty eight percent voted for ,I am mostly satisfied with my work.,eleven percent voted for ,I neither feel satisfied nor dissatisfied with my work.,seven percent voted for ,I feel little satisfaction from my work.,four percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q07,Question 7. I get a sense of satisfaction from my work.,forty one percent voted for ,I am fully satisfied with my work.,forty percent voted for ,I am mostly satisfied with my work.,ten percent voted for ,I neither feel satisfied nor dissatisfied with my work.,six percent voted for ,I feel little satisfaction from my work.,three percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q07,Question 7. I get a sense of satisfaction from my work.,thirty seven percent voted for ,I am fully satisfied with my work.,thirty nine percent voted for ,I am mostly satisfied with my work.,twelve percent voted for ,I neither feel satisfied nor dissatisfied with my work.,seven percent voted for ,I feel little satisfaction from my work.,five percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q07,Question 7. I get a sense of satisfaction from my work.,thirty nine percent voted for ,I am fully satisfied with my work.,thirty nine percent voted for ,I am mostly satisfied with my work.,eleven percent voted for ,I neither feel satisfied nor dissatisfied with my work.,seven percent voted for ,I feel little satisfaction from my work.,four percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q07,Question 7. I get a sense of satisfaction from my work.,thirty four percent voted for ,I am fully satisfied with my work.,forty two percent voted for ,I am mostly satisfied with my work.,twelve percent voted for ,I neither feel satisfied nor dissatisfied with my work.,eight percent voted for ,I feel little satisfaction from my work.,five percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q07,Question 7. I get a sense of satisfaction from my work.,thirty six percent voted for ,I am fully satisfied with my work.,forty two percent voted for ,I am mostly satisfied with my work.,eleven percent voted for ,I neither feel satisfied nor dissatisfied with my work.,seven percent voted for ,I feel little satisfaction from my work.,four percent voted for ,I am not satisfied with my work at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q08,Question 8. I receive meaningful recognition for work well done.,thirty five percent voted for ,I am recognized meaningfully for my work.,thirty three percent voted for ,I receive some recognition for my work.,fourteen percent voted for ,I am neutral about the recognition I receive.,nine percent voted for ,I rarely receive recognition for my work.,eight percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q08,Question 8. I receive meaningful recognition for work well done.,thirty five percent voted for ,I am recognized meaningfully for my work.,thirty four percent voted for ,I receive some recognition for my work.,fourteen percent voted for ,I am neutral about the recognition I receive.,nine percent voted for ,I rarely receive recognition for my work.,seven percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q08,Question 8. I receive meaningful recognition for work well done.,thirty three percent voted for ,I am recognized meaningfully for my work.,thirty six percent voted for ,I receive some recognition for my work.,fourteen percent voted for ,I am neutral about the recognition I receive.,ten percent voted for ,I rarely receive recognition for my work.,seven percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q08,Question 8. I receive meaningful recognition for work well done.,thirty eight percent voted for ,I am recognized meaningfully for my work.,thirty seven percent voted for ,I receive some recognition for my work.,eleven percent voted for ,I am neutral about the recognition I receive.,nine percent voted for ,I rarely receive recognition for my work.,five percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q08,Question 8. I receive meaningful recognition for work well done.,twenty eight percent voted for ,I am recognized meaningfully for my work.,thirty six percent voted for ,I receive some recognition for my work.,fifteen percent voted for ,I am neutral about the recognition I receive.,twelve percent voted for ,I rarely receive recognition for my work.,eight percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q08,Question 8. I receive meaningful recognition for work well done.,thirty two percent voted for ,I am recognized meaningfully for my work.,thirty seven percent voted for ,I receive some recognition for my work.,thirteen percent voted for ,I am neutral about the recognition I receive.,eleven percent voted for ,I rarely receive recognition for my work.,six percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q08,Question 8. I receive meaningful recognition for work well done.,twenty six percent voted for ,I am recognized meaningfully for my work.,thirty four percent voted for ,I receive some recognition for my work.,seventeen percent voted for ,I am neutral about the recognition I receive.,thirteen percent voted for ,I rarely receive recognition for my work.,ten percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q08,Question 8. I receive meaningful recognition for work well done.,thirty one percent voted for ,I am recognized meaningfully for my work.,thirty five percent voted for ,I receive some recognition for my work.,fifteen percent voted for ,I am neutral about the recognition I receive.,eleven percent voted for ,I rarely receive recognition for my work.,seven percent voted for ,I do not receive any recognition for my work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q09,Question 9. I have clear work objectives.,thirty nine percent voted for ,My work objectives are very clear.,forty one percent voted for ,My work objectives are somewhat clear.,eight percent voted for ,I am unsure about the clarity of my work objectives.,eight percent voted for ,My work objectives are unclear.,four percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q09,Question 9. I have clear work objectives.,forty percent voted for ,My work objectives are very clear.,forty one percent voted for ,My work objectives are somewhat clear.,eight percent voted for ,I am unsure about the clarity of my work objectives.,eight percent voted for ,My work objectives are unclear.,three percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q09,Question 9. I have clear work objectives.,thirty five percent voted for ,My work objectives are very clear.,forty one percent voted for ,My work objectives are somewhat clear.,eleven percent voted for ,I am unsure about the clarity of my work objectives.,nine percent voted for ,My work objectives are unclear.,three percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q09,Question 9. I have clear work objectives.,forty percent voted for ,My work objectives are very clear.,forty one percent voted for ,My work objectives are somewhat clear.,nine percent voted for ,I am unsure about the clarity of my work objectives.,eight percent voted for ,My work objectives are unclear.,three percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q09,Question 9. I have clear work objectives.,thirty two percent voted for ,My work objectives are very clear.,forty two percent voted for ,My work objectives are somewhat clear.,twelve percent voted for ,I am unsure about the clarity of my work objectives.,ten percent voted for ,My work objectives are unclear.,four percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q09,Question 9. I have clear work objectives.,thirty seven percent voted for ,My work objectives are very clear.,forty two percent voted for ,My work objectives are somewhat clear.,ten percent voted for ,I am unsure about the clarity of my work objectives.,eight percent voted for ,My work objectives are unclear.,three percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q09,Question 9. I have clear work objectives.,twenty nine percent voted for ,My work objectives are very clear.,forty one percent voted for ,My work objectives are somewhat clear.,thirteen percent voted for ,I am unsure about the clarity of my work objectives.,eleven percent voted for ,My work objectives are unclear.,five percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q09,Question 9. I have clear work objectives.,thirty six percent voted for ,My work objectives are very clear.,forty percent voted for ,My work objectives are somewhat clear.,eleven percent voted for ,I am unsure about the clarity of my work objectives.,nine percent voted for ,My work objectives are unclear.,four percent voted for ,I have no clear work objectives.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,fifty percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty six percent voted for ,I have a general understanding of how my work contributes to organizational goals.,seven percent voted for ,I am unsure how my work contributes to organizational goals.,four percent voted for ,I find it hard to see how my work contributes to organizational goals.,three percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,fifty percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty six percent voted for ,I have a general understanding of how my work contributes to organizational goals.,seven percent voted for ,I am unsure how my work contributes to organizational goals.,four percent voted for ,I find it hard to see how my work contributes to organizational goals.,two percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,forty eight percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty six percent voted for ,I have a general understanding of how my work contributes to organizational goals.,eight percent voted for ,I am unsure how my work contributes to organizational goals.,four percent voted for ,I find it hard to see how my work contributes to organizational goals.,two percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,fifty two percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty six percent voted for ,I have a general understanding of how my work contributes to organizational goals.,seven percent voted for ,I am unsure how my work contributes to organizational goals.,three percent voted for ,I find it hard to see how my work contributes to organizational goals.,one percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,forty four percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty eight percent voted for ,I have a general understanding of how my work contributes to organizational goals.,ten percent voted for ,I am unsure how my work contributes to organizational goals.,five percent voted for ,I find it hard to see how my work contributes to organizational goals.,three percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,forty seven percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty eight percent voted for ,I have a general understanding of how my work contributes to organizational goals.,eight percent voted for ,I am unsure how my work contributes to organizational goals.,five percent voted for ,I find it hard to see how my work contributes to organizational goals.,two percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,forty three percent voted for ,I clearly understand how my work contributes to organizational goals.,forty percent voted for ,I have a general understanding of how my work contributes to organizational goals.,nine percent voted for ,I am unsure how my work contributes to organizational goals.,five percent voted for ,I find it hard to see how my work contributes to organizational goals.,two percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,forty eight percent voted for ,I clearly understand how my work contributes to organizational goals.,thirty eight percent voted for ,I have a general understanding of how my work contributes to organizational goals.,seven percent voted for ,I am unsure how my work contributes to organizational goals.,four percent voted for ,I find it hard to see how my work contributes to organizational goals.,two percent voted for ,I do not see how my work contributes to organizational goals.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q11,"Question 11. Overall, I feel valued at work.",thirty seven percent voted for ,I feel highly valued at work.,thirty five percent voted for ,I feel somewhat valued at work.,twelve percent voted for ,I am neutral about feeling valued at work.,nine percent voted for ,I rarely feel valued at work.,seven percent voted for ,I do not feel valued at all at work.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
