SURVEYR,descrip_E,QUESTION,TITLE_E,ANSWER1,Strongly Agree,ANSWER2,Somewhat Agree,ANSWER3,Neither Agree Nor Disagree,ANSWER4,Somewhat Disagree,ANSWER5,Strongly Disagree,ANSWER6,Don't Know,ANSWER7,Not Applicable,Combined_Text,Cleaned_Text,Polarity_Score,percent_answer1,percent_answer2,percent_answer3,percent_answer4,percent_answer5,Weighted_Score,Weighted_Score_Norm,Hybrid_Score,Hybrid_Sentiment
2020,Public Service,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",thirty nine percent voted for ,My workspace fully meets my job requirements.,thirty eight percent voted for ,My workspace mostly meets my job requirements.,nine percent voted for ,I am neutral about the suitability of my workspace.,ten percent voted for ,My workspace does not fully meet job requirements.,three percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q03 Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements. thirty nine percent voted for  My workspace fully meets my job requirements. thirty eight percent voted for  My workspace mostly meets my job requirements. nine percent voted for  I am neutral about the suitability of my workspace. ten percent voted for  My workspace does not fully meet job requirements. three percent voted for  My workspace is not suitable for my job.",q03 question 3. physical environment e.g. office workspace suitable job requirements thirty nine percent vote workspace fully meet job requirements thirty eight percent vote workspace mostly meet job requirements nine percent vote neutral suitability workspace ten percent vote workspace fully meet job requirements three percent vote workspace suitable job,0.32,39,38,9,10,3,100,0.423076923,0.392153846,Positive
2020,Health Canada,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",thirty six percent voted for ,My workspace fully meets my job requirements.,thirty nine percent voted for ,My workspace mostly meets my job requirements.,nine percent voted for ,I am neutral about the suitability of my workspace.,twelve percent voted for ,My workspace does not fully meet job requirements.,three percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q03 Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements. thirty six percent voted for  My workspace fully meets my job requirements. thirty nine percent voted for  My workspace mostly meets my job requirements. nine percent voted for  I am neutral about the suitability of my workspace. twelve percent voted for  My workspace does not fully meet job requirements. three percent voted for  My workspace is not suitable for my job.",q03 question 3. physical environment e.g. office workspace suitable job requirements thirty six percent vote workspace fully meet job requirements thirty nine percent vote workspace mostly meet job requirements nine percent vote neutral suitability workspace twelve percent vote workspace fully meet job requirements three percent vote workspace suitable job,0.4,36,39,9,12,3,93,0.369230769,0.378461538,Positive
2019,Public Service,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty three percent voted for ,My workspace fully meets my job requirements.,thirty five percent voted for ,My workspace mostly meets my job requirements.,seven percent voted for ,I am neutral about the suitability of my workspace.,ten percent voted for ,My workspace does not fully meet job requirements.,five percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q03 Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements. forty three percent voted for  My workspace fully meets my job requirements. thirty five percent voted for  My workspace mostly meets my job requirements. seven percent voted for  I am neutral about the suitability of my workspace. ten percent voted for  My workspace does not fully meet job requirements. five percent voted for  My workspace is not suitable for my job.",q03 question 3. physical environment e.g. office workspace suitable job requirements forty three percent vote workspace fully meet job requirements thirty five percent vote workspace mostly meet job requirements seven percent vote neutral suitability workspace ten percent vote workspace fully meet job requirements five percent vote workspace suitable job,0.32,43,35,7,10,5,101,0.430769231,0.397538462,Positive
2019,Health Canada,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty four percent voted for ,My workspace fully meets my job requirements.,thirty four percent voted for ,My workspace mostly meets my job requirements.,six percent voted for ,I am neutral about the suitability of my workspace.,ten percent voted for ,My workspace does not fully meet job requirements.,five percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q03 Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements. forty four percent voted for  My workspace fully meets my job requirements. thirty four percent voted for  My workspace mostly meets my job requirements. six percent voted for  I am neutral about the suitability of my workspace. ten percent voted for  My workspace does not fully meet job requirements. five percent voted for  My workspace is not suitable for my job.",q03 question 3. physical environment e.g. office workspace suitable job requirements forty four percent vote workspace fully meet job requirements thirty four percent vote workspace mostly meet job requirements six percent vote neutral suitability workspace ten percent vote workspace fully meet job requirements five percent vote workspace suitable job,0.32,44,34,6,10,5,102,0.438461538,0.402923077,Positive
2022,Public Service,Q04,Question 4. I get the training I need to do my job.,thirty three percent voted for ,I receive all the training I need.,thirty nine percent voted for ,I receive most of the training I need.,ten percent voted for ,I am neutral about the amount of training I receive.,eleven percent voted for ,I do not receive enough training.,six percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. thirty three percent voted for  I receive all the training I need. thirty nine percent voted for  I receive most of the training I need. ten percent voted for  I am neutral about the amount of training I receive. eleven percent voted for  I do not receive enough training. six percent voted for  I do not receive the training I need.,q04 question 4. get train need job thirty three percent vote receive train need thirty nine percent vote receive train need ten percent vote neutral amount train receive eleven percent vote receive enough train six percent vote receive train need,0,33,39,10,11,6,82,0.284615385,0.199230769,Positive
2022,Health Canada,Q04,Question 4. I get the training I need to do my job.,thirty three percent voted for ,I receive all the training I need.,forty one percent voted for ,I receive most of the training I need.,ten percent voted for ,I am neutral about the amount of training I receive.,eleven percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. thirty three percent voted for  I receive all the training I need. forty one percent voted for  I receive most of the training I need. ten percent voted for  I am neutral about the amount of training I receive. eleven percent voted for  I do not receive enough training. four percent voted for  I do not receive the training I need.,q04 question 4. get train need job thirty three percent vote receive train need forty one percent vote receive train need ten percent vote neutral amount train receive eleven percent vote receive enough train four percent vote receive train need,0,33,41,10,11,4,88,0.330769231,0.231538462,Positive
2020,Public Service,Q04,Question 4. I get the training I need to do my job.,thirty three percent voted for ,I receive all the training I need.,thirty nine percent voted for ,I receive most of the training I need.,twelve percent voted for ,I am neutral about the amount of training I receive.,eleven percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. thirty three percent voted for  I receive all the training I need. thirty nine percent voted for  I receive most of the training I need. twelve percent voted for  I am neutral about the amount of training I receive. eleven percent voted for  I do not receive enough training. four percent voted for  I do not receive the training I need.,q04 question 4. get train need job thirty three percent vote receive train need thirty nine percent vote receive train need twelve percent vote neutral amount train receive eleven percent vote receive enough train four percent vote receive train need,0,33,39,12,11,4,86,0.315384615,0.220769231,Positive
2020,Health Canada,Q04,Question 4. I get the training I need to do my job.,thirty six percent voted for ,I receive all the training I need.,forty percent voted for ,I receive most of the training I need.,eleven percent voted for ,I am neutral about the amount of training I receive.,nine percent voted for ,I do not receive enough training.,three percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. thirty six percent voted for  I receive all the training I need. forty percent voted for  I receive most of the training I need. eleven percent voted for  I am neutral about the amount of training I receive. nine percent voted for  I do not receive enough training. three percent voted for  I do not receive the training I need.,q04 question 4. get train need job thirty six percent vote receive train need forty percent vote receive train need eleven percent vote neutral amount train receive nine percent vote receive enough train three percent vote receive train need,0,36,40,11,9,3,97,0.4,0.28,Positive
2019,Public Service,Q04,Question 4. I get the training I need to do my job.,twenty nine percent voted for ,I receive all the training I need.,forty percent voted for ,I receive most of the training I need.,twelve percent voted for ,I am neutral about the amount of training I receive.,thirteen percent voted for ,I do not receive enough training.,six percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. twenty nine percent voted for  I receive all the training I need. forty percent voted for  I receive most of the training I need. twelve percent voted for  I am neutral about the amount of training I receive. thirteen percent voted for  I do not receive enough training. six percent voted for  I do not receive the training I need.,q04 question 4. get train need job twenty nine percent vote receive train need forty percent vote receive train need twelve percent vote neutral amount train receive thirteen percent vote receive enough train six percent vote receive train need,0,29,40,12,13,6,73,0.215384615,0.150769231,Positive
2019,Health Canada,Q04,Question 4. I get the training I need to do my job.,thirty one percent voted for ,I receive all the training I need.,forty percent voted for ,I receive most of the training I need.,twelve percent voted for ,I am neutral about the amount of training I receive.,thirteen percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. thirty one percent voted for  I receive all the training I need. forty percent voted for  I receive most of the training I need. twelve percent voted for  I am neutral about the amount of training I receive. thirteen percent voted for  I do not receive enough training. four percent voted for  I do not receive the training I need.,q04 question 4. get train need job thirty one percent vote receive train need forty percent vote receive train need twelve percent vote neutral amount train receive thirteen percent vote receive enough train four percent vote receive train need,0,31,40,12,13,4,81,0.276923077,0.193846154,Positive
2018,Public Service,Q04,Question 4. I get the training I need to do my job.,twenty five percent voted for ,I receive all the training I need.,forty five percent voted for ,I receive most of the training I need.,ten percent voted for ,I am neutral about the amount of training I receive.,fourteen percent voted for ,I do not receive enough training.,six percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. twenty five percent voted for  I receive all the training I need. forty five percent voted for  I receive most of the training I need. ten percent voted for  I am neutral about the amount of training I receive. fourteen percent voted for  I do not receive enough training. six percent voted for  I do not receive the training I need.,q04 question 4. get train need job twenty five percent vote receive train need forty five percent vote receive train need ten percent vote neutral amount train receive fourteen percent vote receive enough train six percent vote receive train need,0,25,45,10,14,6,69,0.184615385,0.129230769,Positive
2018,Health Canada,Q04,Question 4. I get the training I need to do my job.,twenty seven percent voted for ,I receive all the training I need.,forty four percent voted for ,I receive most of the training I need.,eleven percent voted for ,I am neutral about the amount of training I receive.,twelve percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q04 Question 4. I get the training I need to do my job. twenty seven percent voted for  I receive all the training I need. forty four percent voted for  I receive most of the training I need. eleven percent voted for  I am neutral about the amount of training I receive. twelve percent voted for  I do not receive enough training. four percent voted for  I do not receive the training I need.,q04 question 4. get train need job twenty seven percent vote receive train need forty four percent vote receive train need eleven percent vote neutral amount train receive twelve percent vote receive enough train four percent vote receive train need,0,27,44,11,12,4,78,0.253846154,0.177692308,Positive
2022,Public Service,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty nine percent voted for ,I have everything I need to ensure my health and safety.,thirty three percent voted for ,I have most things I need to ensure my health and safety.,seven percent voted for ,I am unsure if I have what I need for health and safety.,six percent voted for ,I lack some things needed for health and safety.,three percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q05 Question 5. I have the information, training and equipment I need to ensure my health and safety at work. forty nine percent voted for  I have everything I need to ensure my health and safety. thirty three percent voted for  I have most things I need to ensure my health and safety. seven percent voted for  I am unsure if I have what I need for health and safety. six percent voted for  I lack some things needed for health and safety. three percent voted for  I do not have what I need for health and safety.",q05 question 5. information train equipment need ensure health safety work forty nine percent vote everything need ensure health safety thirty three percent vote things need ensure health safety seven percent vote unsure need health safety six percent vote lack things need health safety three percent vote need health safety,0,49,33,7,6,3,119,0.569230769,0.398461538,Positive
2022,Health Canada,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty five percent voted for ,I have everything I need to ensure my health and safety.,thirty five percent voted for ,I have most things I need to ensure my health and safety.,eight percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,four percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q05 Question 5. I have the information, training and equipment I need to ensure my health and safety at work. forty five percent voted for  I have everything I need to ensure my health and safety. thirty five percent voted for  I have most things I need to ensure my health and safety. eight percent voted for  I am unsure if I have what I need for health and safety. seven percent voted for  I lack some things needed for health and safety. four percent voted for  I do not have what I need for health and safety.",q05 question 5. information train equipment need ensure health safety work forty five percent vote everything need ensure health safety thirty five percent vote things need ensure health safety eight percent vote unsure need health safety seven percent vote lack things need health safety four percent vote need health safety,0,45,35,8,7,4,110,0.5,0.35,Positive
2020,Public Service,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty five percent voted for ,I have everything I need to ensure my health and safety.,thirty six percent voted for ,I have most things I need to ensure my health and safety.,nine percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,three percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q05 Question 5. I have the information, training and equipment I need to ensure my health and safety at work. forty five percent voted for  I have everything I need to ensure my health and safety. thirty six percent voted for  I have most things I need to ensure my health and safety. nine percent voted for  I am unsure if I have what I need for health and safety. seven percent voted for  I lack some things needed for health and safety. three percent voted for  I do not have what I need for health and safety.",q05 question 5. information train equipment need ensure health safety work forty five percent vote everything need ensure health safety thirty six percent vote things need ensure health safety nine percent vote unsure need health safety seven percent vote lack things need health safety three percent vote need health safety,0,45,36,9,7,3,113,0.523076923,0.366153846,Positive
2020,Health Canada,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty six percent voted for ,I have everything I need to ensure my health and safety.,thirty five percent voted for ,I have most things I need to ensure my health and safety.,nine percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,two percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q05 Question 5. I have the information, training and equipment I need to ensure my health and safety at work. forty six percent voted for  I have everything I need to ensure my health and safety. thirty five percent voted for  I have most things I need to ensure my health and safety. nine percent voted for  I am unsure if I have what I need for health and safety. seven percent voted for  I lack some things needed for health and safety. two percent voted for  I do not have what I need for health and safety.",q05 question 5. information train equipment need ensure health safety work forty six percent vote everything need ensure health safety thirty five percent vote things need ensure health safety nine percent vote unsure need health safety seven percent vote lack things need health safety two percent vote need health safety,0,46,35,9,7,2,116,0.546153846,0.382307692,Positive
2019,Public Service,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty five percent voted for ,I have everything I need to ensure my health and safety.,thirty five percent voted for ,I have most things I need to ensure my health and safety.,nine percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,three percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q05 Question 5. I have the information, training and equipment I need to ensure my health and safety at work. forty five percent voted for  I have everything I need to ensure my health and safety. thirty five percent voted for  I have most things I need to ensure my health and safety. nine percent voted for  I am unsure if I have what I need for health and safety. seven percent voted for  I lack some things needed for health and safety. three percent voted for  I do not have what I need for health and safety.",q05 question 5. information train equipment need ensure health safety work forty five percent vote everything need ensure health safety thirty five percent vote things need ensure health safety nine percent vote unsure need health safety seven percent vote lack things need health safety three percent vote need health safety,0,45,35,9,7,3,112,0.515384615,0.360769231,Positive
2019,Health Canada,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty nine percent voted for ,I have everything I need to ensure my health and safety.,thirty four percent voted for ,I have most things I need to ensure my health and safety.,eight percent voted for ,I am unsure if I have what I need for health and safety.,six percent voted for ,I lack some things needed for health and safety.,two percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q05 Question 5. I have the information, training and equipment I need to ensure my health and safety at work. forty nine percent voted for  I have everything I need to ensure my health and safety. thirty four percent voted for  I have most things I need to ensure my health and safety. eight percent voted for  I am unsure if I have what I need for health and safety. six percent voted for  I lack some things needed for health and safety. two percent voted for  I do not have what I need for health and safety.",q05 question 5. information train equipment need ensure health safety work forty nine percent vote everything need ensure health safety thirty four percent vote things need ensure health safety eight percent vote unsure need health safety six percent vote lack things need health safety two percent vote need health safety,0,49,34,8,6,2,122,0.592307692,0.414615385,Positive
2022,Public Service,Q06,Question 6. I have support at work to balance my work and personal life.,forty seven percent voted for ,I feel well supported in balancing work and personal life.,thirty percent voted for ,I feel somewhat supported in balancing work and personal life.,nine percent voted for ,I am neutral about the support for work-life balance.,seven percent voted for ,I feel poorly supported in balancing work and personal life.,six percent voted for ,I do not feel supported in balancing work and life.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q06 Question 6. I have support at work to balance my work and personal life. forty seven percent voted for  I feel well supported in balancing work and personal life. thirty percent voted for  I feel somewhat supported in balancing work and personal life. nine percent voted for  I am neutral about the support for work-life balance. seven percent voted for  I feel poorly supported in balancing work and personal life. six percent voted for  I do not feel supported in balancing work and life.,q06 question 6. support work balance work personal life forty seven percent vote feel well support balance work personal life thirty percent vote feel somewhat support balance work personal life nine percent vote neutral support work-life balance seven percent vote feel poorly support balance work personal life six percent vote feel support balance work life,-0.08,47,30,9,7,6,105,0.461538462,0.299076923,Positive
